Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
8,A* Search,Map 2,1,143.0,14.387632131576538,3,2,90
9,A* Search,Map 2,1,157.0,15.795044660568236,3,2,80
10,A* Search,Map 2,1,195.0,19.63528060913086,3,3,80
1,A* Search,Map 3,1,132.0,13.109695434570312,3,2,85
2,A* Search,Map 3,1,82.0,8.250984191894531,3,0,95
3,A* Search,Map 3,1,82.0,8.251285314559937,3,0,95
4,A* Search,Map 3,1,38.0,3.828195810317993,3,0,95
5,A* Search,Map 3,1,38.0,3.824936628341675,3,0,95
6,A* Search,Map 3,1,82.0,8.248893976211548,3,0,95
7,A* Search,Map 3,1,58.0,5.8344457149505615,3,0,95
8,A* Search,Map 3,1,76.0,7.671785116195679,3,0,95
9,A* Search,Map 3,1,82.0,8.245344400405884,3,0,95
10,A* Search,Map 3,1,50.0,5.0361008644104,3,0,95
1,A* Search,Map 4,1,127.0,12.594192028045654,4,2,100
2,A* Search,Map 4,0,84.0,8.45134425163269,105,2,100
3,A* Search,Map 4,1,145.0,14.59708857536316,4,2,100
4,A* Search,Map 4,0,163.0,16.42616558074951,671,2,100
5,A* Search,Map 4,1,107.0,10.75855803489685,4,2,100
6,A* Search,Map 4,1,145.0,14.60537576675415,4,2,100
7,A* Search,Map 4,0,138.0,13.88479781150818,136,3,90
8,A* Search,Map 4,0,92.0,9.262723922729492,134,2,100
9,A* Search,Map 4,1,143.0,14.375269412994385,4,2,100
10,A* Search,Map 4,0,95.0,9.583365440368652,143,2,100
1,A* Search,Map 5,1,232.0,23.156436443328857,3,3,95
2,A* Search,Map 5,1,106.0,10.664001941680908,3,1,95
3,A* Search,Map 5,1,106.0,10.67741060256958,3,1,95
4,A* Search,Map 5,0,160.0,16.12232255935669,427,2,95
5,A* Search,Map 5,1,106.0,10.700971364974976,3,1,95
6,A* Search,Map 5,0,128.0,12.88856053352356,296,1,95
7,A* Search,Map 5,1,106.0,10.664146423339844,3,1,95
8,A* Search,Map 5,1,106.0,10.674407720565796,3,1,95
9,A* Search,Map 5,1,106.0,10.67497944831848,3,1,95
10,A* Search,Map 5,0,169.0,17.030237197875977,305,2,95
1,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
1,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
2,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
3,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
4,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
5,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
6,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
7,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
8,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
9,A* Search,Map 6,1,99.0,9.768433570861816,3,1,100
1,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
1,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
2,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
3,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
4,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
5,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
6,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
7,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
8,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
9,A* Search,Map 7,1,68.0,6.657195568084717,4,1,95
1,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
1,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
2,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
3,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
4,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
5,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
6,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
7,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
8,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
9,A* Search,Map 8,0,148.0,14.715554237365724,226,1,100
1,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
1,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
2,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
3,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
4,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
5,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
6,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
7,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
8,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
9,A* Search,Map 9,1,65.0,6.354032754898071,4,1,100
1,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
1,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
2,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
3,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
4,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
5,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
6,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
7,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
8,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
9,Beam Search,Map 1,0,99.0,9.775763511657717,386,3,100
1,Beam Search,Map 2,1,182.94021125634936,12.593130253123741,0,3,85
2,Beam Search,Map 2,1,160.68726184246566,13.086009806591136,313,2,95
3,Beam Search,Map 2,1,118.56408702159416,20.82327176815433,142,2,85
4,Beam Search,Map 2,1,194.1309591222912,14.144047420008544,0,3,85
5,Beam Search,Map 2,0,84.28647236248739,14.51795165977649,0,2,95
6,Beam Search,Map 2,1,131.78387578474448,12.208020087199106,68,2,90
7,Beam Search,Map 2,0,161.07082632290698,13.918613095918648,196,3,90
8,Beam Search,Map 2,1,148.67410403694035,20.33589938965448,0,2,95
9,Beam Search,Map 2,1,164.44241286146806,12.500640999495385,0,3,100
10,Beam Search,Map 2,1,181.03137671298083,13.460576222396272,0,2,85
1,Beam Search,Map 3,1,98.15709987134933,15.356445025851349,4,0,85
2,Beam Search,Map 3,1,197.06550559981085,11.661231798220308,4,0,85
3,Beam Search,Map 3,1,139.2394669453463,14.649294429687577,4,3,85
4,Beam Search,Map 3,1,110.8757062974303,14.066407580447253,4,1,75
5,Beam Search,Map 3,1,150.3528724495863,13.495507149185604,4,1,80
6,Beam Search,Map 3,1,144.2788313434346,9.820072853455851,4,1,75
7,Beam Search,Map 3,1,118.8135775586856,14.34909963454168,4,2,80
8,Beam Search,Map 3,1,138.841958876165,12.502966734841038,4,2,90
9,Beam Search,Map 3,1,68.46966497529056,10.440866139707888,4,1,85
10,Beam Search,Map 3,1,130.9343429452644,7.445842171330528,4,2,95
1,Beam Search,Map 4,1,213.16295237877603,13.106669191579932,395,1,100
2,Beam Search,Map 4,1,127.754677346659,15.500797388873586,0,3,95
3,Beam Search,Map 4,1,29.640767989698475,9.483479608894235,31,2,95
4,Beam Search,Map 4,1,83.86920416789982,13.699168214789047,0,2,95
5,Beam Search,Map 4,1,180.26598802458506,18.269298397646082,381,2,95
6,Beam Search,Map 4,1,83.45703533609611,20.72066888043338,0,3,95
7,Beam Search,Map 4,1,99.56955679269998,6.832207019998084,159,2,95
8,Beam Search,Map 4,1,157.69588187645218,12.299497069453022,0,2,100
9,Beam Search,Map 4,1,194.97558444617925,14.428801592156042,117,2,95
10,Beam Search,Map 4,1,0.0,14.886947171984591,0,2,95
1,Beam Search,Map 5,1,173.53584581240227,16.499259902924347,57,2,85
2,Beam Search,Map 5,0,154.4970668136524,10.17805150106923,210,1,85
3,Beam Search,Map 5,0,102.02273240640982,19.011979365164468,322,1,85
4,Beam Search,Map 5,1,119.57533604523694,12.401157445715324,248,1,85
5,Beam Search,Map 5,0,112.58277735861154,16.46665361698057,0,0,85
6,Beam Search,Map 5,0,110.78341201713253,10.199952113894179,0,0,85
7,Beam Search,Map 5,0,132.70968845656517,7.637660085605742,198,2,85
8,Beam Search,Map 5,1,102.19590438725595,15.267589367370745,0,1,85
9,Beam Search,Map 5,1,107.346262199407,16.593503616631498,37,0,85
10,Beam Search,Map 5,0,117.34347453889654,11.670420168445283,134,0,85
1,Beam Search,Map 6,1,140.72002785375034,17.249970959986655,245,0,90
2,Beam Search,Map 6,1,78.27985407075991,17.089857856504633,0,0,95
3,Beam Search,Map 6,1,139.32918749040593,14.965010736115133,0,0,90
4,Beam Search,Map 6,1,119.7913797655579,15.056243514593875,456,3,85
5,Beam Search,Map 6,1,33.26905525918902,6.777483823268949,0,1,90
6,Beam Search,Map 6,0,107.0638503188486,13.691282560877916,0,1,90
7,Beam Search,Map 6,0,125.55246555402522,8.70966096839088,269,0,90
8,Beam Search,Map 6,1,106.87208415500909,14.140423593486405,374,1,90
9,Beam Search,Map 6,1,132.662334029687,9.71763302938354,82,1,95
10,Beam Search,Map 6,1,81.16135157961149,4.392638358930625,300,1,95
1,Beam Search,Map 7,1,103.37319441112945,9.17864587323953,134,2,80
2,Beam Search,Map 7,1,50.64082400640787,14.386601309172217,113,1,80
3,Beam Search,Map 7,1,72.25451143831623,8.573465538062239,0,2,80
4,Beam Search,Map 7,1,100.38928030058308,9.705270259308815,330,1,80
